dataset	complete_non_edge_count	shown_index	instance_id	area_px	day_label	position_label	time_index	brightfield_crop_path	fluorescence_crop_path
Data-Yichao-5	830	3	Data-Yichao-5/Goblet_DF_D3_Position005/11_Goblet_DF_D3_Position005_t029_zproj::instance_0001	15536.0	D3	Position005	29	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-5/Goblet_DF_D3_Position005/11_Goblet_DF_D3_Position005_t029_zproj/instance_0001/brightfield_crop.png	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-5/Goblet_DF_D3_Position005/11_Goblet_DF_D3_Position005_t029_zproj/instance_0001/fluorescence_crop.png
Data-Yichao-5	830	4	Data-Yichao-5/Goblet_DF_D3_Position001/09_Goblet_DF_D3_Position001_t001_zproj::instance_0002	29900.0	D3	Position001	1	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-5/Goblet_DF_D3_Position001/09_Goblet_DF_D3_Position001_t001_zproj/instance_0002/brightfield_crop.png	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-5/Goblet_DF_D3_Position001/09_Goblet_DF_D3_Position001_t001_zproj/instance_0002/fluorescence_crop.png
Data-Yichao-5	830	5	Data-Yichao-5/Goblet_DF_D1_Position003/02_Goblet_DF_D1_Position003_t001_zproj::instance_0003	62917.0	D1	Position003	1	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-5/Goblet_DF_D1_Position003/02_Goblet_DF_D1_Position003_t001_zproj/instance_0003/brightfield_crop.png	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-5/Goblet_DF_D1_Position003/02_Goblet_DF_D1_Position003_t001_zproj/instance_0003/fluorescence_crop.png
Data-Yichao-6	429	1	Data-Yichao-6/Goblet_DF_D4_Position007/02_Goblet_DF_D4_Position007_t006_zproj::instance_0001	2521.0	D4	Position007	6	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-6/Goblet_DF_D4_Position007/02_Goblet_DF_D4_Position007_t006_zproj/instance_0001/brightfield_crop.png	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-6/Goblet_DF_D4_Position007/02_Goblet_DF_D4_Position007_t006_zproj/instance_0001/fluorescence_crop.png
Data-Yichao-6	429	2	Data-Yichao-6/Goblet_DF_D4_Position007/02_Goblet_DF_D4_Position007_t029_zproj::instance_0002	5031.0	D4	Position007	29	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-6/Goblet_DF_D4_Position007/02_Goblet_DF_D4_Position007_t029_zproj/instance_0002/brightfield_crop.png	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-6/Goblet_DF_D4_Position007/02_Goblet_DF_D4_Position007_t029_zproj/instance_0002/fluorescence_crop.png
Data-Yichao-6	429	3	Data-Yichao-6/Goblet_DF_D4_Position007/02_Goblet_DF_D4_Position007_t024_zproj::instance_0003	12164.0	D4	Position007	24	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-6/Goblet_DF_D4_Position007/02_Goblet_DF_D4_Position007_t024_zproj/instance_0003/brightfield_crop.png	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-6/Goblet_DF_D4_Position007/02_Goblet_DF_D4_Position007_t024_zproj/instance_0003/fluorescence_crop.png
Data-Yichao-6	429	4	Data-Yichao-6/Goblet_DF_D4_Position004/00_Goblet_DF_D4_Position004_t024_zproj::instance_0002	19562.0	D4	Position004	24	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-6/Goblet_DF_D4_Position004/00_Goblet_DF_D4_Position004_t024_zproj/instance_0002/brightfield_crop.png	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-6/Goblet_DF_D4_Position004/00_Goblet_DF_D4_Position004_t024_zproj/instance_0002/fluorescence_crop.png
Data-Yichao-6	429	5	Data-Yichao-6/Goblet_DF_D4_Position004/00_Goblet_DF_D4_Position004_t004_zproj::instance_0003	37705.0	D4	Position004	4	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-6/Goblet_DF_D4_Position004/00_Goblet_DF_D4_Position004_t004_zproj/instance_0003/brightfield_crop.png	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-6/Goblet_DF_D4_Position004/00_Goblet_DF_D4_Position004_t004_zproj/instance_0003/fluorescence_crop.png
Data-Yichao-7	586	1	Data-Yichao-7/Goblet_DF_D2_Position002/02_Goblet_DF_D2_Position002_t002_zproj::instance_0002	1621.0	D2	Position002	2	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-7/Goblet_DF_D2_Position002/02_Goblet_DF_D2_Position002_t002_zproj/instance_0002/brightfield_crop.png	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-7/Goblet_DF_D2_Position002/02_Goblet_DF_D2_Position002_t002_zproj/instance_0002/fluorescence_crop.png
Data-Yichao-7	586	2	Data-Yichao-7/Goblet_DF_D1_Position001/00_Goblet_DF_D1_Position001_t031_zproj::instance_0001	6346.0	D1	Position001	31	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-7/Goblet_DF_D1_Position001/00_Goblet_DF_D1_Position001_t031_zproj/instance_0001/brightfield_crop.png	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-7/Goblet_DF_D1_Position001/00_Goblet_DF_D1_Position001_t031_zproj/instance_0001/fluorescence_crop.png
Data-Yichao-7	586	3	Data-Yichao-7/Goblet_DF_D3_Position003/06_Goblet_DF_D3_Position003_t015_zproj::instance_0002	10336.0	D3	Position003	15	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-7/Goblet_DF_D3_Position003/06_Goblet_DF_D3_Position003_t015_zproj/instance_0002/brightfield_crop.png	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-7/Goblet_DF_D3_Position003/06_Goblet_DF_D3_Position003_t015_zproj/instance_0002/fluorescence_crop.png
Data-Yichao-7	586	4	Data-Yichao-7/Goblet_DF_D2_Position001/01_Goblet_DF_D2_Position001_t005_zproj::instance_0002	17321.0	D2	Position001	5	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-7/Goblet_DF_D2_Position001/01_Goblet_DF_D2_Position001_t005_zproj/instance_0002/brightfield_crop.png	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-7/Goblet_DF_D2_Position001/01_Goblet_DF_D2_Position001_t005_zproj/instance_0002/fluorescence_crop.png
Data-Yichao-7	586	5	Data-Yichao-7/Goblet_DF_D2_Position005/04_Goblet_DF_D2_Position005_t001_zproj::instance_0001	40784.0	D2	Position005	1	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-7/Goblet_DF_D2_Position005/04_Goblet_DF_D2_Position005_t001_zproj/instance_0001/brightfield_crop.png	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-7/Goblet_DF_D2_Position005/04_Goblet_DF_D2_Position005_t001_zproj/instance_0001/fluorescence_crop.png
Data-Yichao-8	1541	1	Data-Yichao-8/Goblet_DF_D3_Position012/17_Goblet_DF_D3_Position012_t004_zproj::instance_0002	1564.0	D3	Position012	4	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-8/Goblet_DF_D3_Position012/17_Goblet_DF_D3_Position012_t004_zproj/instance_0002/brightfield_crop.png	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-8/Goblet_DF_D3_Position012/17_Goblet_DF_D3_Position012_t004_zproj/instance_0002/fluorescence_crop.png
Data-Yichao-8	1541	2	Data-Yichao-8/Goblet_DF_D2_Position003/02_Goblet_DF_D2_Position003_t037_zproj::instance_0007	5799.0	D2	Position003	37	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-8/Goblet_DF_D2_Position003/02_Goblet_DF_D2_Position003_t037_zproj/instance_0007/brightfield_crop.png	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-8/Goblet_DF_D2_Position003/02_Goblet_DF_D2_Position003_t037_zproj/instance_0007/fluorescence_crop.png
Data-Yichao-8	1541	3	Data-Yichao-8/Goblet_DF_D2_Position002/01_Goblet_DF_D2_Position002_t027_zproj::instance_0004	10505.0	D2	Position002	27	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-8/Goblet_DF_D2_Position002/01_Goblet_DF_D2_Position002_t027_zproj/instance_0004/brightfield_crop.png	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-8/Goblet_DF_D2_Position002/01_Goblet_DF_D2_Position002_t027_zproj/instance_0004/fluorescence_crop.png
Data-Yichao-8	1541	4	Data-Yichao-8/Goblet_DF_D2_Position005/04_Goblet_DF_D2_Position005_t020_zproj::instance_0003	16732.0	D2	Position005	20	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-8/Goblet_DF_D2_Position005/04_Goblet_DF_D2_Position005_t020_zproj/instance_0003/brightfield_crop.png	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-8/Goblet_DF_D2_Position005/04_Goblet_DF_D2_Position005_t020_zproj/instance_0003/fluorescence_crop.png
Data-Yichao-8	1541	5	Data-Yichao-8/Goblet_DF_D3_Position008/13_Goblet_DF_D3_Position008_t012_zproj::instance_0004	52629.0	D3	Position008	12	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-8/Goblet_DF_D3_Position008/13_Goblet_DF_D3_Position008_t012_zproj/instance_0004/brightfield_crop.png	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-8/Goblet_DF_D3_Position008/13_Goblet_DF_D3_Position008_t012_zproj/instance_0004/fluorescence_crop.png
Data-Yichao-9	946	1	Data-Yichao-9/S100A4_CAR-Jurkat_D2/03_S100A4_CAR-Jurkat_D2_t114_zproj::instance_0004	1500.0	D2		114	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-9/S100A4_CAR-Jurkat_D2/03_S100A4_CAR-Jurkat_D2_t114_zproj/instance_0004/brightfield_crop.png	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-9/S100A4_CAR-Jurkat_D2/03_S100A4_CAR-Jurkat_D2_t114_zproj/instance_0004/fluorescence_crop.png
Data-Yichao-9	946	2	Data-Yichao-9/S100A4_CAR-Jurkar_D3_Position002/05_S100A4_CAR-Jurkar_D3_Position002_t050_zproj::instance_0003	3323.0	D3	Position002	50	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-9/S100A4_CAR-Jurkar_D3_Position002/05_S100A4_CAR-Jurkar_D3_Position002_t050_zproj/instance_0003/brightfield_crop.png	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-9/S100A4_CAR-Jurkar_D3_Position002/05_S100A4_CAR-Jurkar_D3_Position002_t050_zproj/instance_0003/fluorescence_crop.png
Data-Yichao-9	946	3	Data-Yichao-9/S100A4_CAR-Jurkat_D2/03_S100A4_CAR-Jurkat_D2_t043_zproj::instance_0003	5123.0	D2		43	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-9/S100A4_CAR-Jurkat_D2/03_S100A4_CAR-Jurkat_D2_t043_zproj/instance_0003/brightfield_crop.png	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-9/S100A4_CAR-Jurkat_D2/03_S100A4_CAR-Jurkat_D2_t043_zproj/instance_0003/fluorescence_crop.png
Data-Yichao-9	946	4	Data-Yichao-9/S100A4_CAR-Jurkar_D3_Position002/05_S100A4_CAR-Jurkar_D3_Position002_t017_zproj::instance_0001	6263.0	D3	Position002	17	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-9/S100A4_CAR-Jurkar_D3_Position002/05_S100A4_CAR-Jurkar_D3_Position002_t017_zproj/instance_0001/brightfield_crop.png	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-9/S100A4_CAR-Jurkar_D3_Position002/05_S100A4_CAR-Jurkar_D3_Position002_t017_zproj/instance_0001/fluorescence_crop.png
Data-Yichao-9	946	5	Data-Yichao-9/S100A4_CAR-Jurkat_D2/03_S100A4_CAR-Jurkat_D2_t032_zproj::instance_0005	14411.0	D2		32	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-9/S100A4_CAR-Jurkat_D2/03_S100A4_CAR-Jurkat_D2_t032_zproj/instance_0005/brightfield_crop.png	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-9/S100A4_CAR-Jurkat_D2/03_S100A4_CAR-Jurkat_D2_t032_zproj/instance_0005/fluorescence_crop.png
Data-Yichao-10	2031	1	Data-Yichao-10/Goblet_DF_3_Position011/08_Goblet_DF_3_Position011_t012_zproj::instance_0003	1527.0		Position011	12	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-10/Goblet_DF_3_Position011/08_Goblet_DF_3_Position011_t012_zproj/instance_0003/brightfield_crop.png	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-10/Goblet_DF_3_Position011/08_Goblet_DF_3_Position011_t012_zproj/instance_0003/fluorescence_crop.png
Data-Yichao-10	2031	2	Data-Yichao-10/Goblet_DF_3_Position002/00_Goblet_DF_3_Position002_t028_zproj::instance_0003	5576.0		Position002	28	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-10/Goblet_DF_3_Position002/00_Goblet_DF_3_Position002_t028_zproj/instance_0003/brightfield_crop.png	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-10/Goblet_DF_3_Position002/00_Goblet_DF_3_Position002_t028_zproj/instance_0003/fluorescence_crop.png
Data-Yichao-10	2031	3	Data-Yichao-10/Goblet_DF_3_Position007/04_Goblet_DF_3_Position007_t011_zproj::instance_0003	9049.0		Position007	11	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-10/Goblet_DF_3_Position007/04_Goblet_DF_3_Position007_t011_zproj/instance_0003/brightfield_crop.png	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-10/Goblet_DF_3_Position007/04_Goblet_DF_3_Position007_t011_zproj/instance_0003/fluorescence_crop.png
Data-Yichao-10	2031	4	Data-Yichao-10/Goblet_DF_3_Position002/00_Goblet_DF_3_Position002_t008_zproj::instance_0002	12879.0		Position002	8	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-10/Goblet_DF_3_Position002/00_Goblet_DF_3_Position002_t008_zproj/instance_0002/brightfield_crop.png	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-10/Goblet_DF_3_Position002/00_Goblet_DF_3_Position002_t008_zproj/instance_0002/fluorescence_crop.png
Data-Yichao-10	2031	5	Data-Yichao-10/Goblet_DF_3_Position015/12_Goblet_DF_3_Position015_t007_zproj::instance_0006	35183.0		Position015	7	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-10/Goblet_DF_3_Position015/12_Goblet_DF_3_Position015_t007_zproj/instance_0006/brightfield_crop.png	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-10/Goblet_DF_3_Position015/12_Goblet_DF_3_Position015_t007_zproj/instance_0006/fluorescence_crop.png
